[3.0815019607543945, '0']
[3.0945849418640137, '0']
[3.1075921058654785, '0']
[3.121166944503784, '0']
[3.1376919746398926, '0']
[3.1539270877838135, '0']
[3.204878091812134, '0']
[3.254833936691284, '0']
[3.3071439266204834, '0']
[3.359143018722534, '0']
[3.4066050052642822, '0']
[3.460922956466675, '0']
[3.509958028793335, '0']
[3.5601799488067627, '0']
[3.610988140106201, '0']
[3.6613850593566895, '0']
[3.733515977859497, '0']
[3.7506561279296875, '0']
[3.7749719619750977, '0']
[3.83205509185791, '0']
[3.883204936981201, '0']
[3.8969380855560303, '0']
[3.951667070388794, '0']
[3.9660589694976807, '0']
[3.983992099761963, '0']
[4.035017013549805, '0']
[4.050408124923706, '0']
[4.101886987686157, '0']
[4.116044044494629, '0']
[4.184031009674072, '0']
[4.251964092254639, '0']
[4.319852113723755, '0']
[4.367808103561401, '0']
[4.416449069976807, '0']
[4.467261075973511, '0']
[4.518187046051025, '0']
[4.568414926528931, '0']
[4.585638046264648, '0']
[4.644243001937866, '0']
[4.668493032455444, '0']
[4.726787090301514, '0']
[4.7563090324401855, '0']
[4.771176099777222, '0']
[4.834610939025879, '0']
[4.85206413269043, '0']
[4.904515027999878, '0']
[4.918301105499268, '0']
[4.968261003494263, '0']
[5.024312973022461, '0']
[5.073883056640625, '0']
[5.123484134674072, '0']
[5.171436071395874, '0']
[5.221540927886963, '0']
[5.271636962890625, '0']
[5.321187973022461, '0']
[5.371856927871704, '0']
[5.422159910202026, '0']
[5.473071098327637, '0']
[5.523277997970581, '0']
[5.573825120925903, '0']
[5.633920907974243, '0']
[5.693680047988892, '0']
[5.739902019500732, '0']
[5.793587923049927, '0']
[5.84415602684021, '0']
[5.894928932189941, '0']
[5.942007064819336, '0']
[5.9912989139556885, '0']
[6.046875953674316, '0']
[6.0934789180755615, '0']
[6.143167018890381, '0']
[6.192843914031982, '0']
[6.2460761070251465, '0']
[6.291701078414917, '0']
[6.3433520793914795, '0']
[6.396345138549805, '0']
[6.445130109786987, '0']
[6.494444131851196, '0']
[6.5443949699401855, '0']
[6.595010042190552, '0']
[6.665087938308716, '0']
[6.711565017700195, '0']
[6.765703916549683, '0']
[6.81194806098938, '0']
[6.866879940032959, '0']
[6.913620948791504, '0']
[6.963634967803955, '0']
[7.016891002655029, '0']
[7.062994956970215, '0']
[7.117506980895996, '0']
[7.163969993591309, '0']
[7.218276023864746, '0']
[7.265253067016602, '0']
[7.315666913986206, '0']
[7.36664605140686, '0']
[7.418154954910278, '0']
[7.4651710987091064, '0']
[7.5155029296875, '0']
[7.569879055023193, '0']
[7.617053985595703, '0']
[7.666891098022461, '0']
[7.71804404258728, '0']
[7.767509937286377, '0']
[7.820889949798584, '0']
[7.867614030838013, '0']
[7.922945976257324, '0']
[7.9696879386901855, '0']
[8.019423961639404, '0']
[8.06906795501709, '1']
[8.118849039077759, '1']
[8.172981023788452, '1']
[8.219578981399536, '1']
[8.273762941360474, '1']
[8.320334911346436, '1']
[8.369707107543945, '1']
[8.425626039505005, '1']
[8.471628904342651, '1']
[8.52134895324707, '1']
[8.574635982513428, '1']
[8.622653007507324, '1']
[8.673099040985107, '1']
[8.72337007522583, '1']
[8.772906064987183, '1']
[8.839257001876831, '1']
[8.9100821018219, '1']
[8.956466913223267, '1']
[9.010932922363281, '1']
[9.057235956192017, '1']
[9.110508918762207, '1']
[9.156950950622559, '1']
[9.2133469581604, '1']
[9.259875059127808, '1']
[9.309745073318481, '1']
[9.358688116073608, '1']
[9.413552045822144, '1']
[9.461085081100464, '1']
[9.511194944381714, '1']
[9.56174111366272, '1']
[9.611333131790161, '1']
[9.661572933197021, '1']
[9.713160991668701, '1']
[9.760142087936401, '1']
[9.811017990112305, '1']
[9.86269998550415, '1']
[9.910129070281982, '1']
[9.970364093780518, '1']
[10.031466007232666, '1']
[10.0799081325531, '1']
[10.097584009170532, '1']
[10.115080118179321, '1']
[10.162997961044312, '1']
[10.180350065231323, '1']
[10.23107099533081, '1']
[10.249202013015747, '1']
[10.297243118286133, '1']
[10.314253091812134, '1']
[10.366749048233032, '1']
[10.381900072097778, '1']
[10.433321952819824, '1']
[10.451863050460815, '1']
[10.499437093734741, '1']
[10.517452955245972, '1']
[10.566415071487427, '1']
[10.584321022033691, '1']
[10.63262391090393, '1']
[10.650367975234985, '1']
[10.702129125595093, '1']
[10.716138124465942, '1']
[10.767040014266968, '1']
[10.784487962722778, '1']
[10.835678100585938, '1']
[10.849828958511353, '1']
[10.900272130966187, '1']
[10.917244911193848, '1']
[10.968538045883179, '1']
[10.986568927764893, '1']
[11.033726930618286, '1']
[11.050255060195923, '1']
[11.104672908782959, '1']
[11.150777101516724, '1']
[11.201584100723267, '1']
[11.253178119659424, '1']
[11.303492069244385, '1']
[11.353610038757324, '1']
[11.402615070343018, '1']
[11.452184915542603, '1']
[11.505574941635132, '1']
[11.551685094833374, '1']
[11.603308916091919, '1']
[11.656172037124634, '1']
[11.706201076507568, '1']
[11.757111072540283, '1']
[11.807382106781006, '1']
[11.875663995742798, '1']
[11.942178010940552, '1']
[11.990201950073242, '1']
[12.037789106369019, '1']
[12.08927607536316, '1']
[12.141235113143921, '1']
[12.19114899635315, '1']
[12.209651947021484, '1']
[12.25998306274414, '1']
[12.273855924606323, '1']
[12.324789047241211, '1']
[12.342965126037598, '1']
[12.357460021972656, '1']
[12.408036947250366, '1']
[12.425458908081055, '1']
[12.477576971054077, '1']
[12.5261869430542, '1']
[12.574429988861084, '1']
[12.626084089279175, '1']
[12.677341938018799, '1']
[12.72503113746643, '1']
[12.776525974273682, '1']
[12.827697992324829, '1']
[12.877233028411865, '1']
[12.928514003753662, '1']
[12.979180097579956, '1']
[13.029258012771606, '2']
[13.079370975494385, '2']
[13.129017114639282, '2']
[13.178797960281372, '2']
[13.232125997543335, '2']
[13.278747081756592, '2']
[13.328498125076294, '2']
[13.381415128707886, '2']
[13.395437955856323, '2']
[13.44884991645813, '2']
[13.462783098220825, '2']
[13.47957992553711, '2']
[13.531583070755005, '2']
[13.545263051986694, '2']
[13.566872119903564, '2']
[13.614572048187256, '2']
[13.631542921066284, '2']
[13.683308124542236, '2']
[13.697519063949585, '2']
[13.748657941818237, '2']
[13.766102075576782, '2']
[13.817305088043213, '2']
[13.86501407623291, '2']
[13.91662311553955, '2']
[13.967572927474976, '2']
[14.014714002609253, '2']
[14.070244073867798, '2']
[14.11714792251587, '2']
[14.167726039886475, '2']
[14.217726945877075, '2']
[14.287539005279541, '2']
[14.338381052017212, '2']
[14.38547396659851, '2']
[14.435513019561768, '2']
[14.484908103942871, '2']
[14.5397310256958, '2']
[14.587054014205933, '2']
[14.638232946395874, '2']
[14.689443111419678, '2']
[14.737514019012451, '2']
[14.787795066833496, '2']
[14.837610006332397, '2']
[14.89701509475708, '2']
[14.95339298248291, '2']
[15.004333972930908, '2']
[15.060056924819946, '2']
[15.073801040649414, '2']
