[1509722981.264667, '2']
[1509722981.269948, '2']
[1509722981.276496, '2']
[1509722981.284846, '2']
[1509722981.290161, '2']
[1509722981.30209, '2']
[1509722981.30736, '2']
[1509722981.317531, '2']
[1509722981.322713, '2']
[1509722981.330808, '2']
[1509722981.338549, '2']
[1509722981.345128, '2']
[1509722981.352666, '2']
[1509722981.357847, '2']
[1509722981.365958, '2']
[1509722981.373797, '2']
[1509722981.381223, '2']
[1509722981.387196, '2']
[1509722981.398254, '2']
[1509722981.404249, '2']
[1509722981.415544, '2']
[1509722981.421323, '2']
[1509722981.427633, '2']
[1509722981.438255, '2']
[1509722981.448629, '2']
[1509722981.454043, '2']
[1509722981.460601, '2']
[1509722981.468484, '2']
[1509722981.473855, '2']
[1509722981.485653, '2']
[1509722981.490979, '2']
[1509722981.499177, '2']
[1509722981.506348, '2']
[1509722981.514027, '2']
[1509722981.519204, '2']
[1509722981.525473, '2']
[1509722981.533443, '2']
[1509722981.538863, '2']
[1509722981.546821, '2']
[1509722981.554508, '2']
[1509722981.561789, '2']
[1509722981.567057, '2']
[1509722981.573416, '2']
[1509722981.585598, '2']
[1509722981.590793, '2']
[1509722981.6011, '2']
[1509722981.606374, '2']
[1509722981.614458, '2']
[1509722981.622071, '2']
[1509722981.629568, '2']
[1509722981.63475, '2']
[1509722981.641157, '2']
[1509722981.649551, '2']
[1509722981.655366, '2']
[1509722981.66157, '2']
[1509722981.669391, '2']
[1509722981.674694, '2']
[1509722981.682692, '2']
[1509722981.690038, '2']
[1509722981.697738, '2']
[1509722981.703758, '2']
[1509722981.709978, '2']
[1509722981.717808, '2']
[1509722981.722977, '2']
[1509722981.731113, '2']
[1509722981.738939, '2']
[1509722981.746198, '2']
[1509722981.75138, '2']
[1509722981.757632, '2']
[1509722981.765602, '2']
[1509722981.771142, '2']
[1509722981.77918, '2']
[1509722981.786439, '2']
[1509722981.792833, '2']
[1509722981.800824, '2']
[1509722981.806532, '2']
[1509722981.814041, '2']
[1509722981.821485, '2']
[1509722981.827701, '2']
[1509722981.835737, '2']
[1509722981.841092, '2']
[1509722981.849165, '2']
[1509722981.856688, '2']
[1509722981.923134, '2']
[1509722981.98122, '2']
[1509722982.039384, '2']
[1509722982.097713, '2']
[1509722982.156499, '2']
[1509722982.221894, '2']
[1509722982.285315, '2']
[1509722982.345898, '2']
[1509722982.406777, '2']
[1509722982.467178, '2']
[1509722982.528975, '2']
[1509722982.589297, '2']
[1509722982.647602, '2']
[1509722982.705369, '2']
[1509722982.766859, '2']
[1509722982.82813, '2']
[1509722982.88766, '2']
[1509722982.946285, '2']
[1509722983.008248, '2']
[1509722983.069163, '2']
[1509722983.128834, '2']
[1509722983.187136, '2']
[1509722983.248661, '2']
[1509722983.310257, '2']
[1509722984.705371, '1']
[1509722984.764306, '1']
[1509722984.82968, '1']
[1509722984.892369, '1']
[1509722984.951328, '1']
[1509722985.012814, '1']
[1509722985.071027, '1']
[1509722985.132475, '1']
[1509722985.196513, '1']
[1509722985.25354, '1']
[1509722985.315546, '1']
[1509722985.378776, '1']
[1509722985.446339, '1']
[1509722985.509269, '1']
[1509722985.570323, '1']
[1509722985.634736, '1']
[1509722985.698786, '1']
[1509722985.76507, '1']
[1509722985.82868, '1']
[1509722985.887817, '1']
[1509722985.950144, '1']
[1509722986.014342, '1']
[1509722986.071701, '1']
[1509722986.128729, '1']
[1509722986.186569, '1']
[1509722986.247725, '1']
[1509722986.307517, '1']
[1509722986.369292, '1']
[1509722986.427123, '1']
[1509722986.488771, '1']
[1509722986.55059, '1']
[1509722986.615229, '1']
[1509722986.678102, '1']
[1509722986.741419, '1']
[1509722988.255671, '1']
[1509722988.314535, '1']
[1509722988.376464, '1']
[1509722988.442192, '1']
[1509722988.503652, '1']
[1509722988.565452, '1']
[1509722988.62624, '1']
[1509722988.685055, '1']
[1509722988.750743, '1']
[1509722988.810448, '1']
[1509722988.873546, '1']
[1509722988.934925, '1']
[1509722988.996035, '1']
[1509722989.058553, '1']
[1509722989.117074, '1']
[1509722989.176869, '1']
[1509722989.235591, '1']
[1509722989.300178, '1']
[1509722989.36022, '1']
[1509722989.4252, '1']
[1509722989.493067, '1']
[1509722989.560157, '1']
[1509722989.619197, '1']
[1509722989.680807, '1']
[1509722989.745271, '1']
[1509722989.809829, '1']
[1509722989.872114, '1']
[1509722989.928345, '1']
[1509722989.991876, '1']
[1509722990.054311, '1']
[1509722990.110332, '1']
[1509722990.178652, '1']
[1509722990.239039, '1']
[1509722990.302168, '1']
[1509722990.364607, '1']
[1509722990.425535, '1']
[1509722990.485094, '1']
[1509722990.551637, '1']
[1509722990.613728, '1']
[1509722990.683959, '1']
[1509722990.748684, '1']
[1509722990.819124, '1']
[1509722990.880234, '3']
[1509722990.940935, '3']
[1509722991.001576, '3']
[1509722991.060353, '3']
[1509722991.127979, '3']
[1509722991.191949, '3']
[1509722991.253511, '3']
[1509722991.309305, '3']
[1509722991.377366, '3']
[1509722991.44228, '3']
[1509722991.509371, '3']
[1509722991.568405, '3']
[1509722991.625616, '3']
[1509722991.68436, '3']
[1509722991.744217, '3']
[1509722991.805097, '3']
[1509722991.873848, '3']
[1509722991.935333, '3']
[1509722991.99854, '3']
[1509722992.058052, '3']
[1509722992.124099, '3']
[1509722992.185835, '3']
[1509722992.248624, '3']
[1509722992.309829, '3']
[1509722992.374525, '3']
[1509722992.432027, '3']
[1509722992.490431, '3']
[1509722992.550111, '3']
[1509722992.609718, '3']
[1509722992.673679, '3']
[1509722992.731644, '3']
[1509722992.790179, '3']
[1509722992.849147, '3']
[1509722992.914303, '3']
[1509722992.973251, '3']
[1509722993.039766, '3']
[1509722993.099069, '3']
[1509722993.161386, '3']
[1509722993.222884, '3']
[1509722993.281942, '3']
[1509722993.33999, '3']
[1509722993.401651, '3']
[1509722993.461604, '0']
[1509722993.522598, '0']
[1509722993.591392, '0']
[1509722993.655083, '0']
[1509722993.723822, '0']
[1509722993.781826, '0']
[1509722993.843932, '0']
[1509722993.905643, '0']
[1509722993.971619, '0']
[1509722994.04036, '0']
[1509722994.099704, '0']
[1509722994.164465, '0']
[1509722994.225998, '0']
[1509722994.290137, '0']
[1509722994.35877, '0']
[1509722994.423547, '0']
[1509722994.480199, '0']
[1509722994.540219, '0']
[1509722994.605798, '0']
[1509722994.663203, '0']
[1509722994.725078, '0']
[1509722994.811156, '0']
[1509722994.878032, '0']
[1509722994.940857, '0']
[1509722995.006904, '0']
[1509722995.07223, '0']
[1509722995.140417, '0']
[1509722995.203578, '0']
[1509722995.273513, '0']
[1509722995.333861, '0']
[1509722995.396691, '0']
[1509722995.45599, '0']
[1509722995.522682, '0']
[1509722995.590851, '0']
[1509722995.654938, '0']
[1509722995.722832, '0']
[1509722995.791269, '0']
[1509722995.857113, '0']
[1509722995.921677, '0']
[1509722995.988784, '0']
[1509722996.057089, '1']
[1509722996.122405, '1']
[1509722996.189357, '1']
[1509722996.248064, '1']
[1509722996.307725, '1']
[1509722996.364392, '1']
[1509722996.42357, '1']
[1509722996.49088, '1']
[1509722996.548212, '1']
[1509722996.607276, '1']
[1509722996.666129, '1']
[1509722996.728125, '1']
[1509722996.786637, '1']
[1509722996.853823, '1']
[1509722996.923463, '1']
[1509722996.987946, '1']
[1509722997.047371, '1']
[1509722997.108538, '1']
[1509722997.170744, '1']
[1509722997.238135, '1']
[1509722997.300116, '1']
[1509722997.373742, '1']
[1509722997.440064, '1']
[1509722997.50404, '1']
[1509722997.56475, '1']
[1509722997.639756, '1']
[1509722997.707043, '1']
[1509722997.770859, '1']
[1509722997.836706, '1']
[1509722997.899732, '1']
[1509722997.962367, '1']
[1509722998.023207, '1']
[1509722998.089922, '1']
[1509722998.154438, '1']
[1509722998.213726, '1']
[1509722998.273082, '1']
[1509722998.338863, '1']
[1509722998.396606, '1']
[1509722998.454257, '1']
[1509722998.519376, '1']
[1509722998.585665, '1']
[1509722998.641432, '2']
[1509722998.705784, '2']
[1509722998.764225, '2']
[1509722998.824948, '2']
[1509722998.88918, '2']
[1509722998.952945, '2']
[1509722999.01345, '2']
[1509722999.078725, '2']
[1509722999.137444, '2']
[1509722999.195725, '2']
[1509722999.256119, '2']
[1509722999.319723, '2']
[1509722999.378882, '2']
[1509722999.436378, '2']
[1509722999.494935, '2']
[1509722999.564881, '2']
[1509722999.627773, '2']
[1509722999.69788, '2']
[1509722999.757292, '2']
[1509722999.821018, '2']
[1509722999.879543, '2']
[1509722999.941538, '2']
[1509723000.010479, '2']
[1509723000.068693, '2']
[1509723000.133994, '2']
[1509723000.190378, '2']
[1509723000.253358, '2']
[1509723000.312978, '2']
[1509723000.384973, '2']
[1509723000.444805, '2']
[1509723000.505965, '2']
[1509723000.570757, '2']
[1509723000.634918, '2']
[1509723000.697276, '2']
[1509723000.756438, '2']
[1509723000.824101, '2']
[1509723000.889398, '2']
[1509723000.944614, '2']
[1509723001.006103, '2']
[1509723001.067701, '2']
[1509723001.126629, '2']
[1509723001.200531, '0']
[1509723001.26103, '0']
[1509723001.321241, '0']
[1509723001.380379, '0']
[1509723001.453731, '0']
[1509723001.518742, '0']
[1509723001.584093, '0']
[1509723001.652074, '0']
[1509723001.7178, '0']
[1509723001.787566, '0']
[1509723001.851514, '0']
[1509723001.911063, '0']
[1509723001.974349, '0']
[1509723002.038293, '0']
[1509723003.521632, '0']
[1509723003.584354, '0']
[1509723003.648658, '0']
[1509723003.707163, '0']
[1509723003.768322, '0']
[1509723003.826541, '0']
[1509723003.888037, '0']
[1509723003.948406, '0']
[1509723004.009318, '0']
[1509723004.069472, '0']
[1509723004.140005, '0']
[1509723004.200999, '0']
[1509723004.269023, '0']
[1509723004.335746, '0']
[1509723004.400625, '0']
[1509723004.470142, '0']
[1509723004.531965, '0']
[1509723004.598996, '0']
[1509723004.665528, '0']
[1509723004.733717, '0']
[1509723004.799635, '0']
[1509723004.868711, '0']
[1509723004.93163, '0']
[1509723004.989418, '0']
[1509723005.052088, '0']
[1509723005.113842, '0']
[1509723005.174068, '0']
[1509723005.232578, '0']
[1509723005.297656, '0']
[1509723005.353655, '0']
[1509723005.414002, '0']
[1509723005.483575, '0']
[1509723005.546946, '0']
[1509723005.606122, '0']
[1509723005.664117, '0']
[1509723005.724151, '0']
[1509723005.783232, '0']
[1509723005.85006, '0']
[1509723005.909337, '0']
[1509723005.967842, '0']
[1509723006.031362, '0']
[1509723006.097895, '0']
[1509723006.164715, '0']
[1509723006.232568, '0']
[1509723006.291808, '0']
[1509723006.359459, '0']
[1509723006.422798, '0']
[1509723006.481505, '0']
[1509723006.546537, '0']
[1509723006.617194, '0']
[1509723006.683757, '0']
[1509723006.743934, '0']
[1509723006.804758, '0']
[1509723006.872043, '0']
[1509723006.932782, '0']
[1509723006.996978, '0']
[1509723007.06397, '0']
[1509723007.133875, '0']
[1509723007.199683, '0']
[1509723007.259548, '0']
[1509723007.321193, '0']
[1509723007.388142, '0']
[1509723007.455452, '0']
[1509723007.51499, '0']
[1509723007.574244, '0']
[1509723007.63937, '0']
[1509723007.704656, '0']
[1509723007.765204, '0']
[1509723007.831583, '0']
[1509723007.896549, '0']
[1509723007.963905, '0']
[1509723008.030335, '0']
[1509723008.099791, '0']
[1509723008.16261, '0']
[1509723008.230958, '0']
[1509723008.296637, '0']
[1509723008.364117, '0']
[1509723008.428969, '0']
[1509723008.497082, '0']
[1509723008.555883, '0']
[1509723008.616177, '0']
[1509723008.679149, '1']
[1509723008.745163, '1']
[1509723008.806803, '1']
[1509723008.86802, '1']
[1509723008.929495, '1']
[1509723008.999026, '1']
[1509723009.063092, '1']
[1509723009.130528, '1']
[1509723009.198465, '1']
[1509723009.256413, '1']
[1509723009.31501, '1']
[1509723009.379049, '1']
[1509723009.438821, '1']
[1509723009.495869, '1']
[1509723009.554228, '1']
[1509723009.613039, '1']
[1509723009.673051, '1']
[1509723009.732593, '1']
[1509723009.797314, '1']
[1509723009.855003, '1']
[1509723009.913246, '1']
[1509723009.980416, '1']
[1509723010.045801, '1']
[1509723010.112083, '1']
[1509723010.179351, '1']
[1509723010.245487, '1']
[1509723010.31203, '1']
[1509723010.381913, '1']
[1509723010.444398, '1']
[1509723010.502921, '1']
[1509723010.563482, '1']
[1509723010.630676, '1']
[1509723010.694273, '1']
[1509723010.75449, '1']
[1509723010.822975, '1']
[1509723010.88605, '1']
[1509723010.94961, '1']
[1509723011.007296, '1']
[1509723011.07903, '1']
[1509723011.137653, '1']
[1509723011.203675, '1']
[1509723011.267053, '1']
[1509723011.328405, '1']
[1509723011.387525, '1']
[1509723011.449015, '1']
[1509723011.511406, '1']
[1509723011.579586, '1']
[1509723011.646908, '1']
[1509723011.712472, '1']
[1509723011.78402, '1']
[1509723011.844747, '1']
[1509723011.903152, '1']
[1509723011.964704, '1']
[1509723012.026361, '1']
[1509723012.086895, '1']
[1509723012.147376, '1']
[1509723012.211797, '1']
[1509723012.277647, '1']
[1509723012.343967, '1']
[1509723012.409851, '1']
[1509723012.475834, '1']
[1509723012.545082, '1']
[1509723012.604241, '1']
[1509723012.663557, '1']
[1509723012.729018, '1']
[1509723012.793781, '1']
[1509723012.854025, '1']
[1509723012.915266, '1']
[1509723012.978427, '1']
[1509723013.044321, '1']
[1509723013.104007, '1']
[1509723013.163976, '1']
[1509723013.230506, '1']
[1509723013.295357, '1']
[1509723013.35933, '1']
[1509723013.418272, '1']
[1509723013.484548, '1']
[1509723013.548742, '1']
[1509723013.608821, '1']
[1509723013.675509, '1']
[1509723013.737191, '1']
[1509723013.800704, '2']
[1509723013.869801, '2']
[1509723013.93409, '2']
[1509723013.995073, '2']
[1509723014.056527, '2']
[1509723014.113587, '2']
[1509723014.17474, '2']
[1509723014.244869, '2']
[1509723014.311666, '2']
[1509723014.376195, '2']
[1509723014.438488, '2']
[1509723014.50887, '2']
[1509723014.567901, '2']
[1509723014.628831, '2']
[1509723014.68695, '2']
[1509723014.749138, '2']
[1509723014.808982, '2']
[1509723014.868612, '2']
[1509723014.927409, '2']
[1509723014.98823, '2']
[1509723015.05879, '2']
[1509723015.120775, '2']
[1509723015.188743, '2']
[1509723015.259394, '2']
[1509723015.324721, '2']
[1509723015.391939, '2']
[1509723015.457718, '2']
[1509723015.525284, '2']
[1509723015.591344, '2']
[1509723015.650587, '2']
[1509723015.715927, '2']
[1509723015.777915, '2']
[1509723015.841178, '2']
[1509723015.909429, '2']
[1509723015.973206, '2']
[1509723016.03222, '2']
[1509723016.089695, '2']
[1509723016.158844, '2']
[1509723016.216193, '2']
[1509723016.280793, '2']
[1509723016.346641, '2']
[1509723016.408574, '2']
[1509723016.467179, '2']
[1509723016.527772, '2']
[1509723016.592052, '2']
[1509723016.658881, '2']
[1509723016.719555, '2']
[1509723016.792421, '2']
[1509723016.850362, '2']
[1509723016.922183, '2']
[1509723016.983796, '2']
[1509723017.042508, '2']
[1509723017.107389, '2']
[1509723017.173417, '2']
[1509723017.239491, '2']
[1509723017.308032, '2']
[1509723017.367605, '2']
[1509723017.42666, '2']
[1509723017.482352, '2']
[1509723017.544475, '2']
[1509723017.610087, '2']
[1509723017.675636, '2']
[1509723017.74304, '2']
[1509723017.80863, '2']
[1509723017.876291, '2']
[1509723017.941468, '2']
[1509723018.006823, '2']
[1509723018.072942, '2']
[1509723018.133906, '2']
[1509723018.201127, '2']
[1509723018.264788, '2']
[1509723018.334489, '2']
[1509723018.397194, '2']
[1509723018.460774, '2']
[1509723018.523004, '2']
[1509723018.588562, '2']
[1509723018.648608, '2']
[1509723018.710602, '2']
[1509723018.76876, '2']
[1509723018.832152, '2']
[1509723018.89693, '3']
[1509723018.960386, '3']
[1509723019.021991, '3']
[1509723019.082143, '3']
[1509723019.141369, '3']
[1509723019.197708, '3']
[1509723019.259922, '3']
[1509723019.325345, '3']
[1509723019.389541, '3']
[1509723020.843122, '2']
[1509723020.912131, '2']
[1509723020.976413, '2']
[1509723021.03805, '2']
[1509723021.100375, '2']
[1509723021.169679, '2']
[1509723021.228504, '2']
[1509723021.287611, '2']
[1509723021.346553, '2']
[1509723021.410283, '2']
[1509723021.470243, '2']
[1509723021.534566, '2']
[1509723021.605587, '2']
[1509723021.667352, '2']
[1509723021.729746, '2']
[1509723021.792269, '2']
[1509723021.853356, '2']
[1509723021.920883, '2']
[1509723021.986052, '2']
[1509723022.055615, '2']
[1509723022.118586, '2']
[1509723022.18097, '2']
[1509723022.246936, '2']
[1509723022.311631, '2']
[1509723022.379459, '2']
[1509723022.440401, '2']
[1509723022.501925, '2']
[1509723022.562109, '2']
[1509723022.625574, '2']
[1509723022.686457, '2']
[1509723022.752809, '2']
[1509723022.813195, '2']
[1509723022.873948, '2']
[1509723022.942246, '2']
[1509723023.004582, '2']
[1509723023.078186, '2']
[1509723023.140736, '2']
[1509723023.20542, '2']
[1509723023.270191, '2']
[1509723023.337636, '2']
[1509723023.402463, '1']
[1509723023.468513, '1']
[1509723023.531239, '1']
[1509723023.59585, '1']
[1509723023.655352, '1']
[1509723023.720276, '1']
[1509723023.786326, '1']
[1509723023.854104, '1']
[1509723023.919852, '1']
[1509723023.978071, '1']
[1509723024.046414, '1']
[1509723024.108612, '1']
[1509723024.175211, '1']
[1509723024.237289, '1']
[1509723024.301873, '1']
[1509723024.365361, '1']
[1509723024.424857, '1']
[1509723024.486027, '1']
[1509723024.552615, '1']
[1509723024.613756, '1']
[1509723024.672616, '1']
[1509723024.734327, '1']
[1509723024.802553, '1']
[1509723024.87405, '1']
[1509723024.93843, '1']
[1509723025.012848, '1']
[1509723025.073874, '1']
[1509723025.136238, '1']
[1509723025.21097, '1']
[1509723025.27933, '1']
[1509723025.343841, '1']
[1509723025.404287, '1']
[1509723025.467645, '1']
[1509723025.525815, '1']
[1509723025.589299, '1']
[1509723025.655354, '1']
[1509723025.72585, '1']
[1509723025.789, '1']
[1509723025.851033, '1']
[1509723025.918764, '1']
[1509723025.984053, '2']
[1509723026.051402, '2']
[1509723026.12003, '2']
[1509723026.184779, '2']
[1509723026.251403, '2']
[1509723026.317324, '2']
[1509723026.38463, '2']
[1509723026.451461, '2']
[1509723026.51834, '2']
[1509723026.587031, '2']
[1509723026.646726, '2']
[1509723026.712254, '2']
[1509723026.775217, '2']
[1509723026.840518, '2']
[1509723026.901602, '2']
[1509723026.96696, '2']
[1509723027.033379, '2']
[1509723027.096811, '2']
[1509723027.166242, '2']
[1509723027.228581, '2']
[1509723027.307026, '2']
[1509723027.375728, '2']
[1509723027.44277, '2']
[1509723027.505443, '2']
[1509723027.572609, '2']
[1509723027.636736, '2']
[1509723027.698434, '2']
[1509723027.767002, '2']
[1509723027.836174, '2']
[1509723027.899804, '2']
[1509723027.960183, '2']
[1509723028.021053, '2']
[1509723028.084093, '2']
[1509723028.150982, '2']
[1509723028.215906, '2']
[1509723028.282868, '2']
[1509723028.34444, '2']
[1509723028.41064, '2']
[1509723028.474418, '2']
[1509723028.542748, '2']
[1509723028.607717, '3']
[1509723028.677207, '3']
[1509723028.740174, '3']
[1509723028.815827, '3']
[1509723028.873905, '3']
[1509723028.93383, '3']
[1509723028.993635, '3']
[1509723029.065067, '3']
[1509723029.134456, '3']
[1509723029.199471, '3']
[1509723029.265959, '3']
[1509723029.33254, '3']
[1509723029.392457, '3']
[1509723029.453066, '3']
[1509723029.517899, '3']
[1509723029.580979, '3']
[1509723029.640194, '3']
[1509723029.708305, '3']
[1509723029.776915, '3']
[1509723029.843328, '3']
[1509723029.90481, '3']
[1509723029.965059, '3']
[1509723030.032118, '3']
[1509723030.098661, '3']
[1509723030.159408, '3']
[1509723030.232474, '3']
[1509723030.299718, '3']
[1509723030.363127, '3']
[1509723030.419717, '3']
[1509723030.483297, '3']
[1509723030.552263, '3']
[1509723030.615163, '3']
[1509723030.675182, '3']
[1509723030.739973, '3']
[1509723030.804427, '3']
[1509723030.863913, '3']
[1509723030.923628, '3']
[1509723030.986314, '3']
[1509723031.055084, '3']
[1509723031.118524, '3']
[1509723031.180399, '0']
[1509723031.24792, '0']
[1509723031.315546, '0']
[1509723031.381374, '0']
[1509723031.447681, '0']
[1509723031.513412, '0']
[1509723031.572276, '0']
[1509723031.633266, '0']
[1509723031.700253, '0']
[1509723031.764017, '0']
[1509723031.824543, '0']
[1509723031.895697, '0']
[1509723031.95647, '0']
[1509723032.018248, '0']
[1509723032.080814, '0']
[1509723032.147552, '0']
[1509723032.20811, '0']
[1509723032.269923, '0']
[1509723032.336125, '0']
[1509723032.399883, '0']
[1509723032.463414, '0']
[1509723032.523876, '0']
[1509723032.59012, '0']
[1509723032.663664, '0']
[1509723032.725271, '0']
[1509723032.796329, '0']
[1509723032.863809, '0']
[1509723032.929855, '0']
[1509723032.991592, '0']
[1509723033.056409, '0']
[1509723033.120663, '0']
[1509723033.187108, '0']
[1509723033.245461, '0']
[1509723033.316404, '0']
[1509723033.383097, '0']
[1509723033.445843, '0']
[1509723033.507273, '0']
[1509723033.567349, '0']
[1509723033.633694, '0']
[1509723033.697218, '0']
[1509723033.757133, '2']
[1509723033.82516, '2']
[1509723033.889434, '2']
[1509723033.948772, '2']
[1509723034.011425, '2']
[1509723034.078643, '2']
[1509723034.140751, '2']
[1509723034.200977, '2']
[1509723034.266899, '2']
[1509723034.331207, '2']
[1509723034.395592, '2']
[1509723034.455951, '2']
[1509723034.528089, '2']
[1509723034.59592, '2']
[1509723034.661785, '2']
[1509723034.728934, '2']
[1509723034.78844, '2']
[1509723034.852184, '2']
[1509723034.911991, '2']
[1509723034.978766, '2']
[1509723035.046649, '2']
[1509723035.10629, '2']
[1509723035.171777, '2']
[1509723035.263112, '2']
[1509723035.333064, '2']
[1509723035.396033, '2']
[1509723035.460502, '2']
[1509723035.522151, '2']
[1509723035.588976, '2']
[1509723035.653709, '2']
[1509723035.723005, '2']
[1509723035.7838, '2']
[1509723035.847729, '2']
[1509723035.914218, '2']
[1509723035.976615, '2']
[1509723036.037074, '2']
[1509723036.11155, '2']
[1509723036.177741, '2']
[1509723036.249151, '2']
[1509723036.3132, '2']
[1509723036.37273, '1']
[1509723036.435586, '1']
[1509723036.498663, '1']
[1509723036.564594, '1']
[1509723036.633095, '1']
[1509723036.696278, '1']
[1509723036.76459, '1']
[1509723036.829427, '1']
[1509723036.894683, '1']
[1509723036.960491, '1']
[1509723037.027726, '1']
[1509723037.093306, '1']
[1509723037.153174, '1']
[1509723037.213993, '1']
[1509723037.277991, '1']
[1509723037.343624, '1']
[1509723037.410373, '1']
[1509723037.476296, '1']
[1509723037.535293, '1']
[1509723037.599166, '1']
[1509723037.663445, '1']
[1509723037.729963, '1']
[1509723037.790904, '1']
[1509723037.862295, '1']
[1509723037.922441, '1']
[1509723037.986764, '1']
[1509723038.046467, '1']
[1509723038.111287, '1']
[1509723038.175309, '1']
[1509723038.237652, '1']
[1509723038.304213, '1']
[1509723038.375514, '1']
[1509723038.436733, '1']
[1509723038.501189, '1']
[1509723038.566833, '1']
[1509723038.627025, '1']
[1509723038.691844, '1']
