Recording date:	2014/02/18
Recording time:	15:35:27
Recording resolution	1024 x 768

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
17.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
34.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
51.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
69.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
86.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
104.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
118.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
135.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
152.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
168.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
185.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
201.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
219.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
236.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
253.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
268.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
285.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
301.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
318.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
335.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
351.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
369.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
386.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
403.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
418.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
435.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
451.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
468.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
485.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
501.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
518.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
536.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
553.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
568.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
584.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
601.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
618.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
634.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
651.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
668.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
686.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
703.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
718.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
734.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
751.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
768.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
784.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
801.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
818.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
836.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
853.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
868.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
884.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
901.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
918.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
934.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
951.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
968.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
985.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1003.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1018.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1034.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1051.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1068.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1084.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1101.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1118.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1135.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1153.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1167.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1184.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1201.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1217.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1234.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1251.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1268.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1285.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1303.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1317.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1334.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1351.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1367.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1384.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1401.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1418.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1435.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1452.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1467.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1484.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1501.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1517.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1534.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1550.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1568.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1585.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1602.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1617.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1634.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1650.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1667.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1684.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1700.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1717.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1735.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1752.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1767.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1784.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1800.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1817.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1833.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1850.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1867.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1885.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1902.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1917.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1933.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1950.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1967.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1983.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2000.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2017.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2035.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2052.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2067.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2083.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2100.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2117.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2133.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2150.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2167.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2184.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2202.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2216.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2233.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2250.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2266.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2283.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2300.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2317.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2334.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2352.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2366.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2383.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2400.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2416.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2433.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2450.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2467.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2484.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
